"source","target","status","detail"
"tech-shrimp/docker_installer","cocyuhao/docker_installer","forked","https://github.com/cocyuhao/docker_installer"
"tech-shrimp/docker_image_pusher","cocyuhao/docker_image_pusher","forked","https://github.com/cocyuhao/docker_image_pusher"
"tech-shrimp/WechatMoments","cocyuhao/WechatMoments","failed","failed to fork: HTTP 451: Repository access blocked (https://api.github.com/repos/tech-shrimp/WechatMoments/forks)"
"tech-shrimp/gemini-playground","cocyuhao/gemini-playground","forked","https://github.com/cocyuhao/gemini-playground"
"tech-shrimp/me","cocyuhao/me","forked","https://github.com/cocyuhao/me"
"tech-shrimp/gemini-balance-lite","cocyuhao/gemini-balance-lite","forked","https://github.com/cocyuhao/gemini-balance-lite"
"tech-shrimp/deno-api-proxy","cocyuhao/deno-api-proxy","forked","https://github.com/cocyuhao/deno-api-proxy"
"tech-shrimp/grok-playground","cocyuhao/grok-playground","forked","https://github.com/cocyuhao/grok-playground"
"tech-shrimp/GithubActionSample","cocyuhao/GithubActionSample","forked","https://github.com/cocyuhao/GithubActionSample"
"tech-shrimp/gemini-proxy","cocyuhao/gemini-proxy","forked","https://github.com/cocyuhao/gemini-proxy"
"tech-shrimp/agent-skills-examples","cocyuhao/agent-skills-examples","forked","https://github.com/cocyuhao/agent-skills-examples"
"tech-shrimp/FreeWechatPush","cocyuhao/FreeWechatPush","forked","https://github.com/cocyuhao/FreeWechatPush"
"tech-shrimp/qwen_autogui","cocyuhao/qwen_autogui","forked","https://github.com/cocyuhao/qwen_autogui"
"tech-shrimp/x-article-auto-publisher-skill","cocyuhao/x-article-auto-publisher-skill","forked","https://github.com/cocyuhao/x-article-auto-publisher-skill"
"tech-shrimp/tech-shrimp","cocyuhao/tech-shrimp","forked","https://github.com/cocyuhao/tech-shrimp"
"tech-shrimp/remotion_videos","cocyuhao/remotion_videos","forked","https://github.com/cocyuhao/remotion_videos"
"tech-shrimp/video_2_markdown_doubao","cocyuhao/video_2_markdown_doubao","forked","https://github.com/cocyuhao/video_2_markdown_doubao"
"tech-shrimp/pet_care","cocyuhao/pet_care","forked","https://github.com/cocyuhao/pet_care"
"tech-shrimp/hear_bird","cocyuhao/hear_bird","forked","https://github.com/cocyuhao/hear_bird"
"tech-shrimp/admiral","cocyuhao/admiral","forked","https://github.com/cocyuhao/admiral"
"tech-shrimp/ai-docs","cocyuhao/ai-docs","forked","https://github.com/cocyuhao/ai-docs"
"tech-shrimp/git","cocyuhao/git","forked","https://github.com/cocyuhao/git"
"tech-shrimp/git_test","cocyuhao/git_test","forked","https://github.com/cocyuhao/git_test"
"tech-shrimp/open-code-test","cocyuhao/open-code-test","forked","https://github.com/cocyuhao/open-code-test"
"tech-shrimp/remote_test","cocyuhao/remote_test","forked","https://github.com/cocyuhao/remote_test"
