full_name,html_url,description,language,stars,forks,license,is_fork,category,project_relevance,relevance_reason,safe_import_action,pushed_at,captured_by
tech-shrimp/docker_installer,https://github.com/tech-shrimp/docker_installer,Docker官方安装包，用来解决因国内网络无法安装使用Docker的问题,,3242,696,NOASSERTION,False,devops_container,medium,deployment_or_container_workflow_reference,fork_or_catalog_only_until_license_confirmed,2025-06-10T08:34:56Z,gh_authenticated_api_2026-05-23
tech-shrimp/docker_image_pusher,https://github.com/tech-shrimp/docker_image_pusher,使用Github Action将国外的Docker镜像转存到阿里云私有仓库，供国内服务器使用，免费易用,,2921,15942,Apache-2.0,False,devops_container,medium,deployment_or_container_workflow_reference,may_vendor_after_license_review,2024-08-21T06:57:35Z,gh_authenticated_api_2026-05-23
tech-shrimp/WechatMoments,https://github.com/tech-shrimp/WechatMoments,微信朋友圈导出工具-技术爬爬虾,Python,1291,134,Apache-2.0,False,wechat_content,low,wechat_workflow_not_core_to_project,may_vendor_after_license_review,2024-06-18T10:15:43Z,gh_authenticated_api_2026-05-23
tech-shrimp/gemini-playground,https://github.com/tech-shrimp/gemini-playground,"Deploy a Gemini multimodal chat website in 10 seconds, Severless!         只需准备一个Gemini API Key，10秒即可部署一个Gemini多模态对话的网站。",JavaScript,984,5048,MIT,False,model_gateway_or_playground,medium,model_gateway_or_low_cost_routing_reference,may_vendor_after_license_review,2026-01-23T06:54:37Z,gh_authenticated_api_2026-05-23
tech-shrimp/me,https://github.com/tech-shrimp/me,爬爬虾技术资源汇总 ，分享好玩实用软件DIY 全网同名。  这里是往期视频的资源列表 本页面备用地址：https://gitee.com/tech-shrimp/me/,,950,140,MIT,False,other,low,weak_project_fit_catalog_only,may_vendor_after_license_review,2026-04-09T09:51:59Z,gh_authenticated_api_2026-05-23
tech-shrimp/gemini-balance-lite,https://github.com/tech-shrimp/gemini-balance-lite,"Gemini API 代理, 把Gemini API免费中转到国内。还可以聚合多个Gemini API Key，随机选取API Key的使用实现负载均衡，使得Gemini API免费成倍增加。",JavaScript,790,769,MIT,False,model_gateway_or_playground,medium,model_gateway_or_low_cost_routing_reference,may_vendor_after_license_review,2025-08-03T14:11:48Z,gh_authenticated_api_2026-05-23
tech-shrimp/deno-api-proxy,https://github.com/tech-shrimp/deno-api-proxy,"使用Deno将大模型的API 代理到国内，解决地区受限问题 Use Deno to proxy Open AI, Claude, Groq and other APIs to mainland China, breaking geographical restrictions.",TypeScript,448,194,NOASSERTION,False,model_gateway_or_playground,medium,model_gateway_or_low_cost_routing_reference,fork_or_catalog_only_until_license_confirmed,2025-01-29T11:33:48Z,gh_authenticated_api_2026-05-23
tech-shrimp/grok-playground,https://github.com/tech-shrimp/grok-playground,【技术爬爬虾】10秒部署一个Grok3国内镜像网站，支持多账户聚合，单账户额度不够可秒换账号。,HTML,415,528,MIT,False,model_gateway_or_playground,medium,model_gateway_or_low_cost_routing_reference,may_vendor_after_license_review,2025-03-03T15:12:16Z,gh_authenticated_api_2026-05-23
tech-shrimp/GithubActionSample,https://github.com/tech-shrimp/GithubActionSample,GithubAction的使用样例，天气推送，薅羊毛，打卡签到,Python,299,897,MIT,False,automation_or_agent_skill,high,github_actions_automation_reference,may_vendor_after_license_review,2024-02-07T11:43:56Z,gh_authenticated_api_2026-05-23
tech-shrimp/gemini-proxy,https://github.com/tech-shrimp/gemini-proxy,使用Cloudflare Worker代理Gemini 多模态 API,JavaScript,260,140,NOASSERTION,False,model_gateway_or_playground,medium,model_gateway_or_low_cost_routing_reference,fork_or_catalog_only_until_license_confirmed,2025-01-01T12:10:25Z,gh_authenticated_api_2026-05-23
tech-shrimp/agent-skills-examples,https://github.com/tech-shrimp/agent-skills-examples,,Python,148,29,MIT,False,automation_or_agent_skill,high,agent_skill_and_task_routing_reference,may_vendor_after_license_review,2026-01-07T01:07:46Z,gh_authenticated_api_2026-05-23
tech-shrimp/FreeWechatPush,https://github.com/tech-shrimp/FreeWechatPush,使用免费的微信测试公众号，做微信推送，给女朋友推送天气，课程提醒。,Python,99,75,MIT,False,wechat_content,low,wechat_workflow_not_core_to_project,may_vendor_after_license_review,2024-01-08T09:12:06Z,gh_authenticated_api_2026-05-23
tech-shrimp/qwen_autogui,https://github.com/tech-shrimp/qwen_autogui,,Python,47,13,NOASSERTION,False,model_gateway_or_playground,medium,model_gateway_or_low_cost_routing_reference,fork_or_catalog_only_until_license_confirmed,2026-02-15T13:35:53Z,gh_authenticated_api_2026-05-23
tech-shrimp/x-article-auto-publisher-skill,https://github.com/tech-shrimp/x-article-auto-publisher-skill,Skill: 自动把markdown格式文章发布到X,Python,34,9,NOASSERTION,False,automation_or_agent_skill,medium,weak_project_fit_catalog_only,fork_or_catalog_only_until_license_confirmed,2026-04-11T09:50:43Z,gh_authenticated_api_2026-05-23
tech-shrimp/tech-shrimp,https://github.com/tech-shrimp/tech-shrimp,自我介绍,,33,3,NOASSERTION,False,other,low,weak_project_fit_catalog_only,fork_or_catalog_only_until_license_confirmed,2024-07-11T00:18:51Z,gh_authenticated_api_2026-05-23
tech-shrimp/remotion_videos,https://github.com/tech-shrimp/remotion_videos,,Python,29,15,NOASSERTION,False,media_extraction_or_delivery,medium,later_delivery_media_reference,fork_or_catalog_only_until_license_confirmed,2026-02-12T08:49:47Z,gh_authenticated_api_2026-05-23
tech-shrimp/video_2_markdown_doubao,https://github.com/tech-shrimp/video_2_markdown_doubao,,Python,10,2,NOASSERTION,False,media_extraction_or_delivery,medium,later_delivery_media_reference,fork_or_catalog_only_until_license_confirmed,2026-01-08T04:12:05Z,gh_authenticated_api_2026-05-23
tech-shrimp/pet_care,https://github.com/tech-shrimp/pet_care,,TypeScript,7,3,NOASSERTION,False,other,low,weak_project_fit_catalog_only,fork_or_catalog_only_until_license_confirmed,2026-04-28T06:04:00Z,gh_authenticated_api_2026-05-23
tech-shrimp/hear_bird,https://github.com/tech-shrimp/hear_bird,,TypeScript,5,3,NOASSERTION,False,other,low,weak_project_fit_catalog_only,fork_or_catalog_only_until_license_confirmed,2026-01-29T14:14:21Z,gh_authenticated_api_2026-05-23
tech-shrimp/admiral,https://github.com/tech-shrimp/admiral,"Node Pulse Admiral - Unified server fleet dashboard—visualize Prometheus metrics, automate deployments with built-in and community-contributed Ansible playbooks, and manage servers via web-based SSH terminal",,0,0,NOASSERTION,True,other,low,weak_project_fit_catalog_only,fork_or_catalog_only_until_license_confirmed,2025-12-01T01:27:46Z,gh_authenticated_api_2026-05-23
tech-shrimp/ai-docs,https://github.com/tech-shrimp/ai-docs,AI 生成的文案仓库,,0,1,NOASSERTION,False,docs_or_content,low,docs_link_only,fork_or_catalog_only_until_license_confirmed,2026-01-06T10:38:32Z,gh_authenticated_api_2026-05-23
tech-shrimp/git,https://github.com/tech-shrimp/git,,,0,0,NOASSERTION,False,other,low,test_repo_catalog_only,fork_or_catalog_only_until_license_confirmed,2026-05-13T02:25:47Z,gh_authenticated_api_2026-05-23
tech-shrimp/git_test,https://github.com/tech-shrimp/git_test,,,0,1,NOASSERTION,False,other,low,test_repo_catalog_only,fork_or_catalog_only_until_license_confirmed,2026-05-18T01:42:49Z,gh_authenticated_api_2026-05-23
tech-shrimp/open-code-test,https://github.com/tech-shrimp/open-code-test,,TypeScript,0,0,NOASSERTION,False,other,low,test_repo_catalog_only,fork_or_catalog_only_until_license_confirmed,2026-01-17T06:04:24Z,gh_authenticated_api_2026-05-23
tech-shrimp/remote_test,https://github.com/tech-shrimp/remote_test,,,0,0,NOASSERTION,False,other,low,test_repo_catalog_only,fork_or_catalog_only_until_license_confirmed,2026-05-16T11:32:02Z,gh_authenticated_api_2026-05-23
